Id,Start time,Completion time,Email,Name,Do you consent to participate in this survey?,"What type of job have you primarily held in last 3 semesters?
",How satisfied are you with the overall work environment at your part-time job?,Do you feel that your work environment promotes open communication among employees?,"On a scale of 1 to 5, how supported do you feel by your supervisor or manager? (1 = Very unlikely, 5 = Very likely)",How often do you experience work-related stress at your part-time job?,Does your part-time job provide a good balance between work responsibilities and personal time?,"How would you rate the physical conditions of your workplace (e.g., cleanliness, comfort, equipment)?(1 = Very unlikely, 5 = Very likely)
",Rank the following factors based on how they contribute to a positive work environment for you.,Do you feel that there are opportunities for personal growth or learning in your part-time job?,"How likely are you to recommend your part-time job to a friend?
(1 = Very unlikely, 5 = Very likely)"
4,11/6/2024 16:09,11/6/2024 16:10,anonymous,,Yes,Part-time,Neutral,Yes,4,Sometimes,Yes,4,Team collaboration;Supportive management;Safe and clean workspace;Flexible hours;,Yes,4
5,11/6/2024 16:19,11/6/2024 16:22,anonymous,,Yes,Part-time,Neutral,Yes,3,Sometimes,Yes,4,Safe and clean workspace;Flexible hours;Team collaboration;Supportive management;,No,4
6,11/6/2024 15:58,11/6/2024 16:22,anonymous,,Yes,Part-time,Neutral,Yes,3,Sometimes,Yes,4,Safe and clean workspace;Team collaboration;Supportive management;Flexible hours;,Yes,4
8,11/18/2024 15:41,11/18/2024 15:43,anonymous,,Yes,On-call,Dissatisfied,No,4,Never,Yes,3,Supportive management;Team collaboration;Safe and clean workspace;Flexible hours,Yes,5
9,11/18/2024 15:59,11/18/2024 16:00,anonymous,,Yes,Part-time,Somewhat dissatisfied,Yes,4,Occasionally,No,3,Safe and clean workspace;Team collaboration;Supportive management;Flexible hours,Yes,3
10,11/18/2024 16:03,11/18/2024 16:05,anonymous,,Yes,Part-time,Satisfied,Yes,4,Often,Yes,5,Safe and clean workspace;Team collaboration;Supportive management;Flexible hours,Yes,5
11,11/18/2024 16:04,11/18/2024 16:05,anonymous,,Yes,Part-time,Very satisfied,Yes,4,Occasionally,Yes,4,Team collaboration;Safe and clean workspace;Supportive management;Flexible hours,Yes,5
12,11/18/2024 16:06,11/18/2024 16:08,anonymous,,Yes,Summer Job ,Satisfied,No,3,Occasionally,Yes,4,Supportive management;Team collaboration;Flexible hours;Safe and clean workspace,Yes,5
13,11/18/2024 16:17,11/18/2024 16:19,anonymous,,Yes,Part-time,Satisfied,No,3,Often,Yes,4,Safe and clean workspace;Flexible hours;Team collaboration;Supportive management,No,3
14,11/18/2024 16:29,11/18/2024 16:33,anonymous,,Yes,Part-time,Very satisfied,No,5,Occasionally,Yes,5,Supportive management;Team collaboration;Safe and clean workspace;Flexible hours,No,5
15,11/18/2024 16:36,11/18/2024 16:37,anonymous,,Yes,Part-time,Very satisfied,Yes,5,Occasionally,Yes,5,Safe and clean workspace;Team collaboration;Supportive management;Flexible hours,Yes,5
16,11/18/2024 17:21,11/18/2024 17:22,anonymous,,Yes,Part-time,Satisfied,No,1,Occasionally,Yes,2,Flexible hours;Team collaboration;Safe and clean workspace;Supportive management,No,2
17,11/18/2024 17:23,11/18/2024 17:24,anonymous,,Yes,Part-time,Satisfied,Yes,4,Occasionally,Yes,3,Team collaboration;Safe and clean workspace;Supportive management;Flexible hours,No,3
18,11/18/2024 20:50,11/18/2024 20:52,anonymous,,Yes,Part-time,Very satisfied,Yes,5,Occasionally,Yes,5,Supportive management;Flexible hours;Safe and clean workspace;Team collaboration,Yes,5
19,11/18/2024 22:25,11/18/2024 22:27,anonymous,,Yes,Part-time,Satisfied,Yes,3,Occasionally,No,4,Safe and clean workspace;Supportive management;Team collaboration;Flexible hours,Yes,3
